categories,precision,recall,f1_score
related,0.84,0.41,0.43
request,0.88,0.71,0.76
offer,0.5,0.5,0.5
aid_related,0.77,0.75,0.75
medical_help,0.9,0.53,0.53
medical_products,0.96,0.53,0.55
search_and_rescue,0.99,0.52,0.53
security,0.99,0.53,0.5
military,0.78,0.52,0.53
child_alone,1.0,1.0,1.0
water,0.92,0.61,0.66
food,0.9,0.69,0.75
shelter,0.89,0.63,0.68
clothing,0.89,0.52,0.53
money,0.99,0.51,0.52
missing_people,1.0,0.51,0.51
refugees,0.98,0.51,0.51
death,0.91,0.57,0.61
other_aid,0.82,0.51,0.48
infrastructure_related,0.47,0.5,0.48
transport,0.95,0.53,0.54
buildings,0.91,0.53,0.54
electricity,0.89,0.51,0.52
tools,0.5,0.5,0.5
hospitals,0.49,0.5,0.5
shops,0.5,0.5,0.5
aid_centers,0.49,0.5,0.5
other_infrastructure,0.48,0.5,0.49
weather_related,0.86,0.79,0.82
floods,0.93,0.69,0.76
storm,0.88,0.73,0.79
fire,0.49,0.5,0.5
earthquake,0.94,0.87,0.9
cold,0.89,0.56,0.6
other_weather,0.76,0.51,0.5
direct_report,0.86,0.67,0.71
